Mix 4
 1.0000000     0.0000000
 0.9989299     0.0003778
 0.9957324     0.0015465
 0.9904488     0.0035437
 0.9831068     0.0063081
 0.9737413     0.0097634
 0.9623567     0.0137587
 0.9489919     0.0181413
 0.9336733     0.0228126
 0.9164841     0.0277603
 0.8975156     0.0329849
 0.8768344     0.0384480
 0.8545436     0.0440903
 0.8307450     0.0498595
 0.8055370     0.0557091
 0.7790285     0.0615845
 0.7513184     0.0674191
 0.7225359     0.0731280
 0.6928060     0.0785995
 0.6622437     0.0837436
 0.6309845     0.0885059
 0.5991718     0.0928435
 0.5669279     0.0967020
 0.5344175     0.1000564
 0.5017727     0.1028777
 0.4691373     0.1051163
 0.4366546     0.1067509
 0.4044563     0.1077386
 0.3727024     0.1080352
 0.3415103     0.1076221
 0.3110150     0.1064966
 0.2813397     0.1046512
 0.2525967     0.1021041
 0.2249091     0.0988835
 0.1984016     0.0950325
 0.1731678     0.0905944
 0.1493109     0.0855932
 0.1269308     0.0800958
 0.1061252     0.0741643
 0.0869806     0.0678061
 0.0695308     0.0610047
 0.0538507     0.0538182
 0.0400457     0.0463397
 0.0281952     0.0387428
 0.0183570     0.0311149
 0.0105548     0.0234075
 0.0047474     0.0154508
 0.0011187     0.0073928
-0.0000344    -0.0000869
 0.0015390    -0.0062782
 0.0057361    -0.0106328
 0.0118789    -0.0139933
 0.0198707    -0.0171150
 0.0297816    -0.0197838
 0.0416136    -0.0220621
 0.0552953    -0.0238975
 0.0708043    -0.0252272
 0.0880872    -0.0260807
 0.1070907    -0.0265107
 0.1277711    -0.0265469
 0.1500406    -0.0262243
 0.1738080    -0.0255861
 0.1989792    -0.0246899
 0.2254477    -0.0235564
 0.2531162    -0.0222176
 0.2818551    -0.0207366
 0.3115340    -0.0191670
 0.3420319    -0.0175572
 0.3732185    -0.0159332
 0.4049542    -0.0142937
 0.4371193    -0.0126230
 0.4695540    -0.0109051
 0.5021294    -0.0091510
 0.5347073    -0.0073828
 0.5671496    -0.0056370
 0.5993280    -0.0039752
 0.6310831    -0.0024368
 0.6622934    -0.0010521
 0.6928170     0.0001575
 0.7225238     0.0011886
 0.7512925     0.0020238
 0.7789928     0.0026686
 0.8054944     0.0031310
 0.8306967     0.0034208
 0.8544891     0.0035512
 0.8767706     0.0035269
 0.8974405     0.0033604
 0.9163984     0.0030678
 0.9335840     0.0026667
 0.9489183     0.0022065
 0.9623225     0.0017275
 0.9737578     0.0012653
 0.9831574     0.0008492
 0.9905073     0.0004972
 0.9957759     0.0002367
 0.9989444     0.0000612
 0.9999995     0.0000000
